x-axis,1,2,3,4
second,Ampere,Volt,Volt,Volt
-20.20000E-03,+822.99995E-03,-2.80500031E+00,+129.99916E-03,-3.63000107E+00
-20.15000E-03,+822.99995E-03,-12.18000031E+00,+7.62999916E+00,+14.49499893E+00
-20.10000E-03,+447.99995E-03,-10.93000031E+00,+7.00499916E+00,+15.11999893E+00
-20.05000E-03,+510.49995E-03,-5.93000031E+00,+3.87999916E+00,+1.99499893E+00
-20.00000E-03,+635.49995E-03,-3.43000031E+00,-495.00084E-03,-3.63000107E+00
-19.95000E-03,+822.99995E-03,-2.80500031E+00,-1.12000084E+00,-3.63000107E+00
-19.90000E-03,+604.24995E-03,-10.30500031E+00,+6.37999916E+00,+14.49499893E+00
-19.85000E-03,+385.49995E-03,-11.55500031E+00,+6.37999916E+00,+14.49499893E+00
-19.80000E-03,+510.49995E-03,-7.18000031E+00,+3.25499916E+00,+3.24499893E+00
-19.75000E-03,+635.49995E-03,-3.43000031E+00,-1.12000084E+00,-3.00500107E+00
-19.70000E-03,+791.74995E-03,-3.43000031E+00,+129.99916E-03,-4.25500107E+00
-19.65000E-03,+510.49995E-03,-10.93000031E+00,+5.12999916E+00,+14.49499893E+00
-19.60000E-03,+385.49995E-03,-5.93000031E+00,+1.37999916E+00,+3.24499893E+00
-19.55000E-03,+572.99995E-03,-4.05500031E+00,-1.74500084E+00,-1.13000107E+00
-19.50000E-03,+635.49995E-03,-2.80500031E+00,-1.74500084E+00,-3.00500107E+00
-19.45000E-03,+760.49995E-03,-10.93000031E+00,+5.12999916E+00,+13.86999893E+00
-19.40000E-03,+385.49995E-03,-11.55500031E+00,+4.50499916E+00,+15.74499893E+00
-19.35000E-03,+416.74995E-03,-5.93000031E+00,+129.99916E-03,+3.24499893E+00
-19.30000E-03,+541.74995E-03,-2.80500031E+00,-2.37000084E+00,-3.63000107E+00
-19.25000E-03,+666.74995E-03,-2.80500031E+00,-1.74500084E+00,-3.00500107E+00
-19.20000E-03,+604.24995E-03,-10.93000031E+00,+3.87999916E+00,+15.11999893E+00
-19.15000E-03,+322.99995E-03,-10.93000031E+00,+3.87999916E+00,+15.74499893E+00
-19.10000E-03,+447.99995E-03,-5.93000031E+00,+129.99916E-03,+3.24499893E+00
-19.05000E-03,+541.74995E-03,-2.80500031E+00,-2.37000084E+00,-3.63000107E+00
-19.00000E-03,+666.74995E-03,-2.80500031E+00,-2.37000084E+00,-3.00500107E+00
-18.95000E-03,+510.49995E-03,-10.30500031E+00,+3.25499916E+00,+15.11999893E+00
-18.90000E-03,+322.99995E-03,-10.93000031E+00,+7.00499916E+00,+14.49499893E+00
-18.85000E-03,+447.99995E-03,-5.30500031E+00,-1.12000084E+00,+3.24499893E+00
-18.80000E-03,+604.24995E-03,-2.80500031E+00,-2.37000084E+00,-3.00500107E+00
-18.75000E-03,+666.74995E-03,-2.18000031E+00,-2.99500084E+00,-3.63000107E+00
